symbol	alias
GCOM1	MYZAP
FBN1	WMS
SNORD26	U26
KIF1A	SPG30
ITGB1BP2	MELUSIN
PARP4	VWA5C
PDE2A	cGSPDE
ASB1	ASB-1
NUFIP2	FIP-82
FAM3A	DLD
TRG-TCC2-4	TRNAG17
ACTR8	hArp8
ERVK-7	HERV-K102
MAPK6	HsT17250
HK1	hexokinase
ZFP69	ZKSCAN23A
MXD4	bHLHc12
SAMSN1	SLy2
COQ2	CL640
TRV-AAC1-5	HtV1
PCAT6	onco-lncRNA-96
MAPK9	p54a
GDAP1	CMT4A
ECH1	HPXEL
CYP2A7	CYPIIA7
MIR548D2	MIRN548D2
ZNF107	Y8
NPHP4	SLSN4
ENTPD8	UNQ2492
MIEF1	dJ1104E15.3
GOT1	AST1
CDK9	C-2k
MC5R	MC2
DNAH11	DNHBL
RBCK1	HOIL1
UTP18	CGI-48
KCND3	SCA19
IGKV2D-29	A2a
RBM38	HSRNASEB
CLEC2A	INPE5792
MIR122	mir-122
SLC25A4	ANT 1
HOXD9	HOX4
AQP2	AQP-CD
UGT2B7	UDPGTh-2
ERVK-18	Protease
OR1E1	OR1E6
GABPAP	E4TF1B
RPLP0P5	RPLP0_1_167
AGTR1	AT1R
MAPK11	PRKM11
PARP4P1	PARP4PY1
ECSCR	ARIA
UQCR11	UQCR
SCGB3A2	LU103
SMG6	C17orf31
SNTA1	SNT1
TENM3	ODZ3
MAP4K4	FLH21957
HIVEP3	KRC
DNM1P44	DNM1DN11.13
CD46	AHUS2
KDM4C	TDRD14C
MCFD2	SDNSF
SMN1	TDRD16A
SERP1	RAMP4
AAT1	FAA1
NECTIN2	PVRL2
GOSR1	GOS28
MIR7160	hsa-mir-7160
TRAV29DV5	hADV29S1
SST	SMST
KIF23	CHO1
FAM102A	bA203J24.7
TMEM14C	NET26
ZNF174	ZSCAN8
MAEA	GID9
MZT2A	FAM128A
UBAP2	UBAP-2
ACKR4	CCX CKR
SNX27	MRT1
GNE	DMRV
SLC25A16	GDA
ATP5G1P2	ATP5GP4
TRPM2-AS	TRPM2-AS1
IRF4	NF-EM5
UGT1A9	LUGP4
GADD45GIP1	Plinp1
MIR376A2	mir-376a-2
RPS3AP40	RPS3A_19_1151
POLR2D	HSRBP4
LRP1	IGFBP3R
GAPDHP72	GAPDHL18
MS4A3	CD20L
NELFA	WHSC2
HEY2	GRIDLOCK
KBTBD12	KLHDC6
SLC16A2	XPCT
EXOSC3	hRrp-40
TRBV4-3	TCRBV7S2A1N4T
C9orf106	bA65J3.5
SNORD83B	RNU83B
NAMPTP1	NAMPTL
TRPV5	OTRPC3
OR2B6	OR5-41
ZNF25	KOX19
PNPLA3	ADPN
COPG2IT1	CIT1
CHPF2	CSGLCA-T
FKBP4P6	FKBP4P5
RIOX1	URLC2
MFSD2A	NLS1
RPS12P20	RPS12_10_1153
ANGPT2	ANG2
MAGED2	BCG-1
PSEN2	AD4
MIR519A1	mir-519a-1
BEX3	HGR74
LCE5A	SPRL5A
HNRNPM	hnRNP M
TTC39A	C1orf34
SNAPC4	SNAP190
SGSM3	CIP85
PTPRH	R-PTP-H
SPIN3	bA445O16.1
EWSAT1	LINC00277
TRIP11	GMAP210
FAM171B	KIAA1946
ALPP	PLAP
FSD1L	FSD1CL
MARCH3	RNF173
EBPL	EBRP
PEA15	MAT1H
ATP2C1	SPCA1
DCLRE1C	DCLREC1C
EXO1	HEX1
IGHD4-4	DA4
SUMO3	SUMO-3
PRKCD	PKCD
MTMR14	C3orf29
ADAM3A	tMDCI
UGT2B15	UGT2B8
TRE-CTC1-1	TRNAE21
GNMT	HEL-S-182mP
GULP1	CED-6
DENND1A	KIAA1608
RTN4	Nbla00271
TFDP1	DILC
FHL1	FHL1A
IFT46	C11orf60
SLIT1	MEGF4
RPL36AP37	RPL36A_14_1122
COASY	pOV-2
AKR1B1	ALR2
ADGRL3	LPHN3
MIR3200	mir-3200
XKRY2	XKRYP7
PFDN6	KE-2
CDC16	ANAPC6
CD70	TNLG8A
ZNF318	HRIHFB2436
AIFM1	AIF
TRS-CGA4-1	TRNAS11
GP5	CD42d
RNU4-1	RNU4B2
ADIPQTL3	CAQ14
RPL35AP37	RPL35A_16_1766
CYP21A2	CYP21
GSTM1	GTH4
RPL5P23	RPL5_8_899
RPL21P85	RPL21_33_996
RPL17	L17
SNAPC2	SNAP45
AEN	pp12744
PHC1	RAE28
ALG10	KCR1
TAF10	TAF2A
NUTM2HP	FAM22HP
RPL35P3	RPL35_2_728
IL3	MULTI-CSF
CYCSP46	HCP47
SKOR1	CORL1
CXXC1P1	NCRNA00236
TRAV8-1	TCRAV1S1
P3H4	SC65
UPK1A	UPIA
INTS3	INT3
TMEM240	SCA21
FMNL3	WBP-3
CHERP	DAN16
ZNF146	OZF
TMEM265	IFITMD8
ADAMTSL1	PUNCTIN
PHF8	MRXSSD
PHF5A	SF3b14b
EGR2	AT591
MIR153-1	mir-153-1
ATF2	TREB7
GRK1	GPRK1
NAT10	ALP
SF1	ZNF162
FXNP1	FRDAP
CASZ1	dJ734G22.1
OR12D1	hs6M1-19
SIGLEC10	SIGLEC-10
OR7E31P	OST205
EXOC1	SEC3L1
IFNE	INFE1
EGR1	KROX-24
OR7E11P	OR7E144P
MGP	GIG36
CCT8P1	CCT8-1P
MRGBP	URCC4
CTSLP2	CTSLL5
AQP3	GIL
CD83P1	CD83P
FCGR3B	CD16
MTCH2	MIMP
RNA5SP421	RN5S421
AXL	ARK
MIR548AY	hsa-mir-548ay
RIMS1	CORD7
